Timestamp,Buildid,Cellname,Productarticlenumber,Lost Time in minutes,Linename,Product_expectedbuildtime,Actual_buildtime_step,Process_losttime,Interferencecomment,Interferencecategorymain,Interferencecategorysub,Productname
2023-06-14T07:27:46.464-07:00,503246,Pack Station,5370-273-214,0,Model Value Stream,600,70,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-14T07:42:32.630-07:00,527336,Pack Station,5370-273-214,0,Model Value Stream,600,104,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-14T08:21:20.262-07:00,516327,Pack Station,5370-273-229,0,Model Value Stream,720,107,0,,,,5370-273-229_C/B UM-180-2030 90V GEN2
2023-06-13T04:25:44.444-07:00,473795,Kitting,5370-169-204,0,Model Value Stream,360,108,0,,,,5370-169-204_BK EM-50-20 90V GEN2
2023-06-13T04:35:36.576-07:00,482926,Kitting,5370-169-204,0,Model Value Stream,360,71,0,,,,5370-169-204_BK EM-50-20 90V GEN2
2023-06-13T06:49:36.215-07:00,485021,Kitting,5370-169-278,0,Model Value Stream,720,114,0,,,,5370-169-278_BK EM-50-20FBB 24V GEN2
2023-06-13T07:33:11.247-07:00,500248,Kitting,5370-169-278,0,Model Value Stream,720,87,0,,,,5370-169-278_BK EM-50-20FBB 24V GEN2
2023-06-13T04:43:39.108-07:00,483262,Kitting,5370-270-204,0,Model Value Stream,360,85,0,,,,5370-270-204_CL EM-50-10 90V GEN2
2023-06-13T10:39:40.631-07:00,504084,Kitting,5370-270-204,0,Model Value Stream,360,27,0,,,,5370-270-204_CL EM-50-10 90V GEN2
2023-06-13T10:41:34.414-07:00,504085,Kitting,5370-270-204,0,Model Value Stream,360,76,0,,,,5370-270-204_CL EM-50-10 90V GEN2
2023-06-13T10:50:04.814-07:00,504240,Kitting,5370-270-204,0,Model Value Stream,360,12,0,,,,5370-270-204_CL EM-50-10 90V GEN2
2023-06-13T07:45:19.812-07:00,501416,Kitting,5370-273-209,0,Model Value Stream,600,108,0,,,,5370-273-209_C/B UM-100-1020 90V GEN2
2023-06-13T08:43:49.516-07:00,503233,Kitting,5370-273-214,0,Model Value Stream,600,101,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-13T07:04:11.235-07:00,461165,Hub-Shaft-Armature Assembly,5370-169-203,0,Model Value Stream,360,197,0,,,,5370-169-203_BK EM-50-20 24V GEN2
2023-06-13T07:35:26.372-07:00,473898,Hub-Shaft-Armature Assembly,5370-169-204,0,Model Value Stream,360,334,0,,,,5370-169-204_BK EM-50-20 90V GEN2
2023-06-13T08:28:41.608-07:00,500248,Hub-Shaft-Armature Assembly,5370-169-278,0,Model Value Stream,720,61,0,,,,5370-169-278_BK EM-50-20FBB 24V GEN2
2023-06-13T05:18:18.546-07:00,469081,Hub-Shaft-Armature Assembly,5370-170-220,0,Model Value Stream,360,4,0,,,,"5370-170-220_BRK ASSY,EM-180/ERS-49,90V"
2023-06-13T10:47:22.600-07:00,504084,Hub-Shaft-Armature Assembly,5370-270-204,0,Model Value Stream,360,7,0,,,,5370-270-204_CL EM-50-10 90V GEN2
2023-06-13T10:16:25.172-07:00,503770,Hub-Shaft-Armature Assembly,5370-271-209,0,Model Value Stream,360,193,0,,,,5370-271-209_CL UM-100-1040 90V GEN2
2023-06-13T04:27:27.857-07:00,465593,Hub-Shaft-Armature Assembly,5371-169-029,0,Model Value Stream,720,195,0,,,,5371-169-029_BK EM-210-20FBB 90V
2023-06-13T06:58:58.994-07:00,470522,Housing Assembly,5370-170-201,0,Model Value Stream,480,100,0,,,,5370-170-201_BK ASM EM-50/ERS-42 24V
2023-06-13T05:43:36.540-07:00,466273,Housing Assembly,5371-169-032,9.366292,Model Value Stream,480,1042,562,"Installing helicoils manually, start set up for 0212 housing ",Housing Quality,,5371-169-032_BK EM-210-20FBB 24V
2023-06-13T07:34:05.408-07:00,461165,Final Assembly,5370-169-203,0,Model Value Stream,360,312,0,,,,5370-169-203_BK EM-50-20 24V GEN2
2023-06-13T07:51:08.670-07:00,482324,Final Assembly,5370-169-204,0,Model Value Stream,360,59,0,,,,5370-169-204_BK EM-50-20 90V GEN2
2023-06-13T10:13:31.561-07:00,483369,Final Assembly,5370-169-219,0,Model Value Stream,360,47,0,,,,5370-169-219_BK EM-50-20MB 90V GEN2
2023-06-13T08:51:01.473-07:00,498486,Final Assembly,5370-169-278,0,Model Value Stream,720,38,0,,,,5370-169-278_BK EM-50-20FBB 24V GEN2
2023-06-13T10:29:39.478-07:00,503770,Final Assembly,5370-271-209,0,Model Value Stream,360,23,0,,,,5370-271-209_CL UM-100-1040 90V GEN2
2023-06-13T04:58:42.706-07:00,465605,Final Assembly,5371-169-029,0,Model Value Stream,720,205,0,,,,5371-169-029_BK EM-210-20FBB 90V
2023-06-13T09:05:59.395-07:00,498486,Burnish and Inspection,5370-169-278,1.049958,Model Value Stream,720,783,63,"Long burnish cycle time, load other burnisher ",Burnish Rig,Waiting on Burnish Rig,5370-169-278_BK EM-50-20FBB 24V GEN2
2023-06-13T10:03:42.684-07:00,500248,Burnish and Inspection,5370-169-278,0,Model Value Stream,720,280,0,,,,5370-169-278_BK EM-50-20FBB 24V GEN2
2023-06-13T07:04:53.118-07:00,470522,Burnish and Inspection,5370-170-201,0,Model Value Stream,480,7,0,,,,5370-170-201_BK ASM EM-50/ERS-42 24V
2023-06-13T10:04:32.950-07:00,483262,Burnish and Inspection,5370-270-204,0,Model Value Stream,360,0,0,,,,5370-270-204_CL EM-50-10 90V GEN2
2023-06-13T11:05:42.426-07:00,504076,Burnish and Inspection,5370-270-204,0,Model Value Stream,360,4,0,,,,5370-270-204_CL EM-50-10 90V GEN2
2023-06-13T05:18:20.384-07:00,465605,Burnish and Inspection,5371-169-029,3.116542,Model Value Stream,720,907,187,"Wait for housing- install helicoils manually, cupling fixture stuck on shaft fixture at burnisher ",Long Machining Cycle Time,,5371-169-029_BK EM-210-20FBB 90V
2023-06-13T05:00:05.502-07:00,466139,Burnish and Inspection,5371-169-029,21.815794,Model Value Stream,720,2029,1309,Wait for housing- start up/ warm up ,Long Machining Cycle Time,,5371-169-029_BK EM-210-20FBB 90V
2023-06-13T07:55:29.893-07:00,473898,Pack Station,5370-169-204,0,Model Value Stream,360,43,0,,,,5370-169-204_BK EM-50-20 90V GEN2
2023-06-13T07:54:34.645-07:00,482324,Pack Station,5370-169-204,0,Model Value Stream,360,107,0,,,,5370-169-204_BK EM-50-20 90V GEN2
2023-06-13T09:07:33.141-07:00,498486,Pack Station,5370-169-278,0,Model Value Stream,720,18,0,,,,5370-169-278_BK EM-50-20FBB 24V GEN2
2023-06-12T07:28:58.876-07:00,461165,Kitting,5370-169-203,0,Model Value Stream,360,103,0,,,,5370-169-203_BK EM-50-20 24V GEN2
2023-06-12T05:29:02.974-07:00,449151,Kitting,5370-273-214,0,Model Value Stream,600,114,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T05:34:12.793-07:00,449153,Kitting,5370-273-214,0,Model Value Stream,600,112,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T05:45:10.572-07:00,449331,Kitting,5370-273-214,0,Model Value Stream,600,115,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T08:00:58.458-07:00,465593,Kitting,5371-169-029,0,Model Value Stream,720,179,0,,,,5371-169-029_BK EM-210-20FBB 90V
2023-06-12T08:17:18.897-07:00,465880,Kitting,5371-169-029,0,Model Value Stream,720,134,0,,,,5371-169-029_BK EM-210-20FBB 90V
2023-06-12T08:23:56.443-07:00,466139,Kitting,5371-169-029,0,Model Value Stream,720,135,0,,,,5371-169-029_BK EM-210-20FBB 90V
2023-06-12T05:25:36.152-07:00,442557,Hub-Shaft-Armature Assembly,5370-273-208,0,Model Value Stream,600,7,0,,,,5370-273-208_C/B UM-100-1020 24V GEN2
2023-06-12T05:42:40.539-07:00,442595,Hub-Shaft-Armature Assembly,5370-273-208,0,Model Value Stream,600,4,0,,,,5370-273-208_C/B UM-100-1020 24V GEN2
2023-06-12T09:04:30.048-07:00,455377,Hub-Shaft-Armature Assembly,5370-273-209,0,Model Value Stream,600,186,0,,,,5370-273-209_C/B UM-100-1020 90V GEN2
2023-06-12T06:17:14.336-07:00,446648,Hub-Shaft-Armature Assembly,5370-273-213,0,Model Value Stream,600,29,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T08:57:01.262-07:00,448100,Hub-Shaft-Armature Assembly,5370-273-214,0,Model Value Stream,600,221,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T08:46:39.476-07:00,449080,Hub-Shaft-Armature Assembly,5370-273-214,0,Model Value Stream,600,226,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T07:44:15.035-07:00,449331,Hub-Shaft-Armature Assembly,5370-273-214,0,Model Value Stream,600,217,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T08:04:12.028-07:00,449944,Hub-Shaft-Armature Assembly,5370-273-214,0,Model Value Stream,600,422,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T04:21:44.232-07:00,435060,Hub-Shaft-Armature Assembly,5370-273-323,0,Model Value Stream,600,4,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T04:41:07.612-07:00,441258,Hub-Shaft-Armature Assembly,5370-273-323,0,Model Value Stream,600,156,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T11:19:05.285-07:00,465880,Hub-Shaft-Armature Assembly,5371-169-029,0,Model Value Stream,720,266,0,,,,5371-169-029_BK EM-210-20FBB 90V
